"team_name","gp","w","l","w_pct"
"Atlanta Hawks",67,20,47,0.299
"Boston Celtics",72,48,24,0.667
"Brooklyn Nets",72,35,37,0.486
"Charlotte Hornets",65,23,42,0.354
"Chicago Bulls",65,22,43,0.338
"Cleveland Cavaliers",65,19,46,0.292
"Dallas Mavericks",75,43,32,0.573
"Denver Nuggets",73,46,27,0.63
"Detroit Pistons",66,20,46,0.303
"Golden State Warriors",65,15,50,0.231
"Houston Rockets",72,44,28,0.611
"Indiana Pacers",73,45,28,0.616
"LA Clippers",72,49,23,0.681
"Los Angeles Lakers",71,52,19,0.732
"Memphis Grizzlies",73,34,39,0.466
"Miami Heat",73,44,29,0.603
"Milwaukee Bucks",73,56,17,0.767
"Minnesota Timberwolves",64,19,45,0.297
"New Orleans Pelicans",72,30,42,0.417
"New York Knicks",66,21,45,0.318
"Oklahoma City Thunder",72,44,28,0.611
"Orlando Magic",73,33,40,0.452
"Philadelphia 76ers",73,43,30,0.589
"Phoenix Suns",73,34,39,0.466
"Portland Trail Blazers",74,35,39,0.473
"Sacramento Kings",72,31,41,0.431
"San Antonio Spurs",71,32,39,0.451
"Toronto Raptors",72,53,19,0.736
"Utah Jazz",72,44,28,0.611
"Washington Wizards",72,25,47,0.347
