,team_name_2015,gp,w,l,w_pct_2015,team_name_2016,gp.1,w.1,l.1,w_pct_2016,team_name_2017,gp.2,w.2,l.2,w_pct_2017,team_name_2018,gp.3,w.3,l.3,w_pct_2018
4,Chicago Bulls,82.0,42.0,40.0,0.512,Chicago Bulls,82.0,41.0,41.0,0.5,Chicago Bulls,82.0,27.0,55.0,0.329,Chicago Bulls,82.0,22.0,60.0,0.268
5,Cleveland Cavaliers,82.0,57.0,25.0,0.695,Cleveland Cavaliers,82.0,51.0,31.0,0.622,Cleveland Cavaliers,82.0,50.0,32.0,0.61,Cleveland Cavaliers,82.0,19.0,63.0,0.232
6,Detroit Pistons,82.0,44.0,38.0,0.537,Detroit Pistons,82.0,37.0,45.0,0.451,Detroit Pistons,82.0,39.0,43.0,0.476,Detroit Pistons,82.0,41.0,41.0,0.5
7,Indiana Pacers,82.0,45.0,37.0,0.549,Indiana Pacers,82.0,42.0,40.0,0.512,Indiana Pacers,82.0,48.0,34.0,0.585,Indiana Pacers,82.0,48.0,34.0,0.585
9,Milwaukee Bucks,82.0,33.0,49.0,0.402,Milwaukee Bucks,82.0,42.0,40.0,0.512,Milwaukee Bucks,82.0,44.0,38.0,0.537,Milwaukee Bucks,82.0,60.0,22.0,0.732
