,team_name_2015,gp,w,l,w_pct_2015,team_name_2016,gp.1,w.1,l.1,w_pct_2016,team_name_2017,gp.2,w.2,l.2,w_pct_2017,team_name_2018,gp.3,w.3,l.3,w_pct_2018
1,Boston Celtics,82.0,48.0,34.0,0.585,Boston Celtics,82.0,53.0,29.0,0.646,Boston Celtics,82.0,55.0,27.0,0.671,Boston Celtics,82.0,49.0,33.0,0.598
2,Brooklyn Nets,82.0,21.0,61.0,0.256,Brooklyn Nets,82.0,20.0,62.0,0.244,Brooklyn Nets,82.0,28.0,54.0,0.341,Brooklyn Nets,82.0,42.0,40.0,0.512
10,New York Knicks,82.0,32.0,50.0,0.39,New York Knicks,82.0,31.0,51.0,0.378,New York Knicks,82.0,29.0,53.0,0.354,New York Knicks,82.0,17.0,65.0,0.207
12,Philadelphia 76ers,82.0,10.0,72.0,0.122,Philadelphia 76ers,82.0,28.0,54.0,0.341,Philadelphia 76ers,82.0,52.0,30.0,0.634,Philadelphia 76ers,82.0,51.0,31.0,0.622
13,Toronto Raptors,82.0,56.0,26.0,0.683,Toronto Raptors,82.0,51.0,31.0,0.622,Toronto Raptors,82.0,59.0,23.0,0.72,Toronto Raptors,82.0,58.0,24.0,0.707
